Flight_ID,Airline,Origin,Destination,Departure_Date,Seat_Class,Days_to_Departure,Layovers,Layover_Airport1,Layover_Airport2,Price
FL01617,Hawaiian Airlines,LAX,DEN,11-04-2024,Business,92,0,NA,NA,588.36
FL01618,SkyWest Airlines,ATL,JFK,20-09-2024,Economy,167,1,IAH,NA,208
FL01619,United,BWI,ORD,09-05-2024,Economy,55,1,ATL,NA,840.94
FL01620,United,DFW,CLT,25-05-2024,Business,139,1,DCA,NA,555.95
FL01621,Alaska Airlines,DCA,MIA,06-11-2024,Economy,67,2,DTW,LAX,382.69
FL01622,SkyWest Airlines,JFK,EWR,15-01-2025,First Class,34,2,MIA,PHX,2372.54
FL01623,Republic Airways,PHX,ATL,04-09-2024,Business,127,1,ORD,NA,955.69
FL01624,SkyWest Airlines,LAX,ATL,11-12-2024,First Class,158,2,MIA,PHX,1564.64
FL01625,United,JFK,BWI,12-01-2025,Business,165,1,SEA,NA,759.31
FL01626,Hawaiian Airlines,JFK,CLT,29-11-2024,Economy,78,2,MCO,EWR,1166.01
FL01627,JetBlue,DCA,JFK,29-09-2024,First Class,152,0,NA,NA,1119.33
FL01628,Spirit Airlines,DEN,CLT,13-04-2024,Business,174,0,NA,NA,552.56
FL01629,Delta,SEA,LAS,23-03-2024,Business,78,1,CLT,NA,678.65
FL01630,Alaska Airlines,DFW,ORD,07-12-2024,Economy,10,0,NA,NA,943.96
FL01631,Frontier Airlines,DTW,MDW,07-08-2024,Business,36,2,CLT,SEA,854.27
FL01632,JetBlue,SEA,SFO,15-05-2024,First Class,122,1,BWI,NA,1438.52
FL01633,Hawaiian Airlines,MIA,MDW,06-08-2024,Business,85,1,MCO,NA,1314.7
FL01634,United,DCA,JFK,29-11-2024,First Class,169,0,NA,NA,775.99
FL01635,Hawaiian Airlines,DEN,LAS,30-08-2024,First Class,116,0,NA,NA,1606.41
FL01636,Endeavor Air,MIA,MCO,17-05-2024,Business,157,0,NA,NA,719.81
FL01637,JetBlue,IAH,CLT,12-04-2024,Economy,11,1,MIA,NA,1114.07
FL01638,Southwest,DTW,LAS,18-10-2024,First Class,9,2,MCO,ORD,2643.93
FL01639,Southwest,BWI,DEN,20-04-2024,Economy,176,1,DFW,NA,405.14
FL01640,Hawaiian Airlines,DFW,PHX,07-09-2024,First Class,42,1,DTW,NA,1006.6
FL01641,Spirit Airlines,DEN,MIA,19-09-2024,Economy,148,1,ATL,NA,377.3
FL01642,Republic Airways,CLT,JFK,13-05-2024,Economy,159,1,IAH,NA,532.28
FL01643,American Airlines,MIA,DCA,07-03-2024,First Class,91,2,LAS,PHX,1410.44
FL01644,Hawaiian Airlines,EWR,ATL,21-01-2025,First Class,16,0,NA,NA,2480.69
FL01645,Delta,LAS,ATL,13-05-2024,First Class,48,2,DEN,BWI,1670.88
FL01646,JetBlue,DCA,BWI,09-10-2024,First Class,176,1,DTW,NA,1552.63
FL01647,United,LAS,MCO,30-10-2024,Business,31,0,NA,NA,902.52
FL01648,Spirit Airlines,DCA,BOS,15-03-2024,Business,24,0,NA,NA,849.2
FL01649,Frontier Airlines,ORD,MDW,02-08-2024,Economy,121,0,NA,NA,523.92
FL01650,JetBlue,EWR,LAS,29-01-2025,First Class,147,1,BOS,NA,1404.37
FL01651,Spirit Airlines,DFW,EWR,09-12-2024,Economy,39,0,NA,NA,970.95
FL01652,Hawaiian Airlines,EWR,SFO,11-04-2024,Economy,164,0,NA,NA,300.32
FL01653,Republic Airways,DFW,SEA,19-12-2024,First Class,166,1,CLT,NA,1170.94
FL01654,United,ATL,DCA,14-11-2024,Business,170,0,NA,NA,767.51
FL01655,Alaska Airlines,ORD,BOS,22-05-2024,First Class,131,0,NA,NA,865.02
FL01656,Frontier Airlines,MIA,MDW,29-08-2024,Business,1,1,DFW,NA,1161.67
FL01657,Endeavor Air,MCO,SFO,11-05-2024,First Class,159,2,DEN,CLT,1071.48
FL01658,Hawaiian Airlines,BWI,LAX,06-09-2024,Business,152,0,NA,NA,804.71
FL01659,Alaska Airlines,MCO,ATL,08-11-2024,Business,133,1,DFW,NA,809.36
FL01660,Endeavor Air,CLT,IAH,03-08-2024,First Class,148,1,MDW,NA,1406.62
FL01661,Frontier Airlines,DEN,CLT,11-03-2024,First Class,83,1,DCA,NA,1610.23
FL01662,Endeavor Air,SEA,BOS,02-04-2024,First Class,35,0,NA,NA,1323.98
FL01663,Alaska Airlines,CLT,PHX,17-12-2024,First Class,89,1,BWI,NA,823.14
FL01664,Republic Airways,ATL,CLT,16-11-2024,Economy,43,1,DTW,NA,881.91
FL01665,United,LAX,BWI,02-03-2024,Business,1,0,NA,NA,1139.78
FL01666,Spirit Airlines,SEA,MCO,15-08-2024,Economy,78,0,NA,NA,163.56
FL01667,American Airlines,SEA,DCA,01-12-2024,Economy,118,0,NA,NA,618.84
FL01668,Alaska Airlines,DCA,MIA,30-07-2024,Economy,4,1,PHX,NA,710.34
FL01669,JetBlue,SEA,DCA,09-03-2024,Business,87,1,EWR,NA,865.86
FL01670,Delta,SFO,DCA,14-06-2024,First Class,167,1,BOS,NA,1345.81
FL01671,Spirit Airlines,LAX,IAH,25-12-2024,Business,142,1,CLT,NA,795.72
FL01672,United,LAS,ORD,30-12-2024,First Class,82,2,IAH,PHX,2157.59
FL01673,United,BOS,DTW,13-07-2024,Economy,171,0,NA,NA,359.53
FL01674,Southwest,DCA,MCO,22-06-2024,Economy,78,1,BOS,NA,902.34
FL01675,American Airlines,EWR,DEN,28-10-2024,Business,53,2,BOS,ORD,1864.32
FL01676,Alaska Airlines,DEN,DTW,15-04-2024,First Class,163,2,BOS,IAH,1221.22
FL01677,JetBlue,DEN,DFW,14-12-2024,Economy,49,2,MDW,LAS,959.34
FL01678,Delta,EWR,ORD,01-12-2024,Economy,178,0,NA,NA,287.44
FL01679,Spirit Airlines,BOS,ORD,18-06-2024,Business,38,0,NA,NA,725.76
FL01680,Endeavor Air,IAH,MDW,13-01-2025,First Class,26,2,DEN,ORD,1838.43
FL01681,American Airlines,IAH,LAS,24-07-2024,Business,161,1,SFO,NA,543.56
FL01682,JetBlue,ATL,MDW,19-09-2024,Business,72,1,CLT,NA,953.06
FL01683,JetBlue,ATL,DTW,13-07-2024,First Class,115,1,MDW,NA,1405.72
FL01684,Republic Airways,SEA,ORD,05-01-2025,Business,116,0,NA,NA,1174.9
FL01685,Frontier Airlines,BWI,JFK,09-05-2024,First Class,149,0,NA,NA,1031.77
FL01686,United,DCA,LAS,18-11-2024,Business,76,0,NA,NA,1069.86
FL01687,American Airlines,DEN,SFO,30-09-2024,Business,47,2,DTW,JFK,1137.94
FL01688,Southwest,ORD,DCA,30-10-2024,Economy,85,0,NA,NA,687.43
FL01689,Frontier Airlines,PHX,LAS,01-12-2024,Economy,166,1,MIA,NA,800.13
FL01690,Delta,PHX,SEA,05-10-2024,Business,31,2,IAH,EWR,1823.16
FL01691,Southwest,CLT,DFW,29-06-2024,First Class,78,1,JFK,NA,1046.58
FL01692,Frontier Airlines,EWR,BWI,13-05-2024,First Class,109,0,NA,NA,1109.3
FL01693,Hawaiian Airlines,MDW,LAS,14-03-2024,Business,164,1,DTW,NA,889.22
FL01694,Frontier Airlines,BWI,MIA,05-05-2024,Business,39,0,NA,NA,573.37
FL01695,JetBlue,JFK,SEA,07-05-2024,Business,180,1,BOS,NA,471.9
FL01696,Alaska Airlines,IAH,LAX,25-04-2024,First Class,117,2,DCA,CLT,1298.15
FL01697,Spirit Airlines,LAX,MIA,29-06-2024,First Class,79,1,SEA,NA,1836.72
FL01698,SkyWest Airlines,DCA,SFO,04-04-2024,First Class,180,1,CLT,NA,687.38
FL01699,Spirit Airlines,ATL,SFO,16-05-2024,Business,28,1,DCA,NA,816.94
FL01700,Southwest,LAX,BOS,09-09-2024,First Class,49,1,PHX,NA,1570.22
FL01701,Delta,MCO,MIA,21-03-2024,Business,10,0,NA,NA,813.88
FL01702,Hawaiian Airlines,MDW,SFO,31-03-2024,Economy,65,0,NA,NA,734.26
FL01703,Hawaiian Airlines,ORD,IAH,13-04-2024,First Class,100,0,NA,NA,1177.7
FL01704,Republic Airways,DFW,ATL,08-04-2024,Business,178,0,NA,NA,548.24
FL01705,Frontier Airlines,JFK,IAH,17-05-2024,Business,155,1,ORD,NA,540.43
FL01706,Republic Airways,DCA,ATL,21-01-2025,Business,167,1,MCO,NA,591.62
FL01707,Frontier Airlines,SEA,SFO,02-04-2024,First Class,143,2,MDW,LAS,921.64
FL01708,American Airlines,BOS,IAH,16-05-2024,First Class,174,1,MCO,NA,1010.26
FL01709,Spirit Airlines,LAX,DTW,23-03-2024,First Class,168,2,LAS,ATL,1178.06
FL01710,Delta,JFK,LAX,06-08-2024,Economy,143,0,NA,NA,146.97
FL01711,Endeavor Air,JFK,LAX,12-11-2024,Business,163,2,EWR,SEA,663.55
FL01712,Alaska Airlines,DFW,MCO,17-01-2025,Economy,18,0,NA,NA,1076.83
FL01713,Southwest,DFW,MCO,27-07-2024,First Class,122,1,SFO,NA,1411.69
FL01714,Alaska Airlines,DEN,MIA,17-03-2024,First Class,130,2,BWI,ATL,1078.05
FL01715,Endeavor Air,BWI,MCO,11-08-2024,Business,45,1,EWR,NA,1006.05
FL01716,United,SFO,ATL,28-08-2024,First Class,49,1,MCO,NA,833.51
FL01717,Hawaiian Airlines,JFK,DFW,01-09-2024,Economy,64,2,ATL,PHX,881.72
FL01718,Alaska Airlines,DFW,BOS,10-09-2024,Economy,64,1,JFK,NA,355.86
FL01719,Republic Airways,DFW,DTW,22-08-2024,Business,171,1,ORD,NA,647.39
FL01720,SkyWest Airlines,BWI,LAX,10-10-2024,First Class,150,1,MCO,NA,1299.47
FL01721,Hawaiian Airlines,JFK,MDW,20-07-2024,Economy,123,2,DTW,EWR,1043.28
FL01722,Hawaiian Airlines,DEN,MIA,26-01-2025,First Class,95,0,NA,NA,1018.27
FL01723,Frontier Airlines,DTW,JFK,04-07-2024,First Class,158,0,NA,NA,868.86
FL01724,SkyWest Airlines,DCA,DFW,15-10-2024,Economy,89,1,LAS,NA,862.93
FL01725,Spirit Airlines,DEN,JFK,19-06-2024,First Class,157,0,NA,NA,795.12
FL01726,United,DEN,LAS,17-01-2025,First Class,13,0,NA,NA,1370.33
FL01727,Frontier Airlines,EWR,DEN,26-05-2024,Economy,34,2,ATL,DFW,1276.47
FL01728,Endeavor Air,JFK,DFW,21-08-2024,First Class,97,1,EWR,NA,915.17
FL01729,Delta,SFO,DCA,13-07-2024,Economy,141,1,JFK,NA,710.3
FL01730,Frontier Airlines,DTW,CLT,12-01-2025,First Class,127,2,BWI,LAS,1544
FL01731,Frontier Airlines,DFW,ATL,03-01-2025,Business,22,2,MDW,CLT,1099.21
FL01732,Frontier Airlines,CLT,DFW,05-01-2025,Business,42,0,NA,NA,1162.63
FL01733,Hawaiian Airlines,DCA,CLT,31-07-2024,Economy,172,0,NA,NA,524.35
FL01734,Hawaiian Airlines,LAX,SFO,25-12-2024,Business,36,2,BWI,MDW,1239.38
FL01735,Delta,MIA,SEA,22-09-2024,First Class,29,1,MCO,NA,1402.77
FL01736,American Airlines,PHX,SEA,13-05-2024,Business,117,2,MIA,LAS,1051.06
FL01737,SkyWest Airlines,DEN,PHX,05-09-2024,First Class,128,1,SFO,NA,1159.37
FL01738,JetBlue,BWI,DCA,09-10-2024,Business,128,0,NA,NA,530.34
FL01739,Spirit Airlines,EWR,CLT,13-06-2024,Business,48,2,ORD,ATL,887.97
FL01740,United,DCA,LAS,20-07-2024,Economy,178,0,NA,NA,216.59
FL01741,Alaska Airlines,JFK,BWI,03-12-2024,Economy,73,1,SFO,NA,787.1
FL01742,Frontier Airlines,MCO,SFO,03-05-2024,Economy,39,2,SEA,MIA,1009.62
FL01743,SkyWest Airlines,SEA,SFO,29-06-2024,Business,23,0,NA,NA,1169.78
FL01744,United,DEN,ATL,25-11-2024,Economy,39,2,DFW,JFK,609.76
FL01745,Republic Airways,SEA,BOS,09-10-2024,First Class,14,2,SFO,EWR,1612.28
FL01746,Republic Airways,MCO,LAX,21-09-2024,First Class,27,1,DTW,NA,1387.27
FL01747,Hawaiian Airlines,IAH,DEN,05-04-2024,First Class,1,0,NA,NA,1561.66
FL01748,American Airlines,DFW,DCA,09-02-2025,Economy,89,0,NA,NA,256.59
FL01749,Frontier Airlines,DFW,BWI,13-05-2024,Business,24,1,PHX,NA,1676.76
FL01750,Spirit Airlines,CLT,JFK,15-01-2025,Business,151,2,PHX,DEN,876.29
FL01751,JetBlue,BWI,SFO,02-02-2025,First Class,45,2,EWR,MCO,1913.95
FL01752,United,PHX,MCO,26-06-2024,Business,113,1,DCA,NA,505.92
FL01753,Spirit Airlines,LAX,ATL,11-06-2024,First Class,75,1,SEA,NA,1661.47
FL01754,Southwest,IAH,SFO,23-09-2024,Economy,137,1,EWR,NA,287.2
FL01755,SkyWest Airlines,DCA,ORD,24-09-2024,Business,137,1,SFO,NA,793.07
FL01756,JetBlue,BOS,ATL,23-01-2025,First Class,82,0,NA,NA,1035.77
FL01757,Hawaiian Airlines,ATL,BOS,14-11-2024,Economy,135,0,NA,NA,280.15
FL01758,SkyWest Airlines,BOS,DCA,10-12-2024,Business,37,2,JFK,PHX,1614.32
FL01759,Spirit Airlines,SEA,LAX,15-11-2024,Economy,109,0,NA,NA,368.45
FL01760,Hawaiian Airlines,IAH,SFO,02-04-2024,Business,45,0,NA,NA,1212.65
FL01761,SkyWest Airlines,IAH,MIA,22-01-2025,First Class,70,1,BOS,NA,2025.92
FL01762,SkyWest Airlines,LAS,CLT,16-05-2024,First Class,14,2,SFO,EWR,1600.08
FL01763,Spirit Airlines,DTW,BWI,10-03-2024,First Class,141,0,NA,NA,1664.8
FL01764,Southwest,DTW,MCO,17-11-2024,Economy,25,1,BOS,NA,1071.27
FL01765,United,ATL,DTW,16-12-2024,First Class,1,2,LAX,MIA,1732.36
FL01766,SkyWest Airlines,CLT,IAH,05-01-2025,Economy,28,1,PHX,NA,800.52
FL01767,Delta,PHX,BOS,08-03-2024,First Class,170,1,JFK,NA,690.02
FL01768,Frontier Airlines,SFO,LAX,25-12-2024,Business,102,1,ATL,NA,1172.9
FL01769,American Airlines,DCA,LAS,29-08-2024,First Class,126,1,SFO,NA,1231.39
FL01770,Hawaiian Airlines,DTW,ORD,03-05-2024,Business,50,1,LAS,NA,987.2
FL01771,Endeavor Air,SFO,JFK,09-10-2024,Business,45,1,MIA,NA,1556.41
FL01772,Spirit Airlines,EWR,CLT,29-09-2024,Economy,71,1,ATL,NA,682.29
FL01773,Delta,DCA,BWI,01-11-2024,First Class,63,0,NA,NA,1030.89
FL01774,Endeavor Air,MDW,EWR,26-09-2024,Business,55,0,NA,NA,500.77
FL01775,United,ATL,MDW,26-09-2024,First Class,21,2,DTW,ORD,2040.56
FL01776,Delta,CLT,JFK,13-08-2024,Business,157,0,NA,NA,364.55
FL01777,JetBlue,ORD,EWR,12-12-2024,First Class,83,0,NA,NA,1429.24
FL01778,Frontier Airlines,BWI,PHX,30-06-2024,Business,30,2,SFO,EWR,1425.86
FL01779,American Airlines,ATL,BWI,10-11-2024,Business,169,0,NA,NA,594.92
FL01780,American Airlines,BOS,SFO,21-09-2024,Economy,67,2,PHX,BWI,917.63
FL01781,Frontier Airlines,MIA,DTW,08-10-2024,First Class,140,0,NA,NA,1103.38
FL01782,Delta,ORD,LAX,05-08-2024,First Class,160,1,LAS,NA,1256.15
FL01783,Frontier Airlines,LAX,EWR,28-08-2024,First Class,20,1,DFW,NA,1047.91
FL01784,United,LAX,CLT,17-01-2025,Business,92,1,DEN,NA,922.1
FL01785,Southwest,EWR,BWI,23-04-2024,Economy,77,1,DCA,NA,392.17
FL01786,Spirit Airlines,SFO,DEN,28-04-2024,Business,134,0,NA,NA,1064.8
FL01787,Delta,LAS,MCO,09-03-2024,Economy,67,1,SEA,NA,894.15
FL01788,Hawaiian Airlines,LAS,DEN,19-09-2024,Business,48,0,NA,NA,795.93
FL01789,Southwest,BOS,BWI,03-10-2024,Economy,124,1,DCA,NA,807.17
FL01790,American Airlines,BWI,MCO,08-01-2025,Economy,57,1,LAX,NA,925.66
FL01791,United,PHX,DCA,18-06-2024,Economy,148,0,NA,NA,509.83
FL01792,Spirit Airlines,IAH,PHX,16-09-2024,First Class,164,1,DEN,NA,1031.19
FL01793,Frontier Airlines,BOS,PHX,22-10-2024,Economy,160,2,ORD,ATL,788.83
FL01794,United,DTW,MDW,09-10-2024,Economy,122,0,NA,NA,342.37
FL01795,Spirit Airlines,SEA,MIA,18-01-2025,First Class,73,2,MDW,IAH,1989.49
FL01796,Hawaiian Airlines,LAS,IAH,20-04-2024,Economy,34,0,NA,NA,522.62
FL01797,Delta,BWI,SEA,09-06-2024,Business,87,1,BOS,NA,1266.53
FL01798,Delta,DCA,EWR,27-06-2024,Economy,132,1,SFO,NA,739.86
FL01799,SkyWest Airlines,ORD,MIA,08-06-2024,First Class,81,0,NA,NA,1355.37
FL01800,Endeavor Air,SEA,IAH,13-10-2024,First Class,179,1,ORD,NA,1383.35
FL01801,Spirit Airlines,PHX,ORD,30-09-2024,First Class,75,0,NA,NA,974.84
FL01802,American Airlines,BWI,DEN,03-03-2024,Business,173,1,MDW,NA,905.03
FL01803,Republic Airways,DTW,ATL,06-06-2024,First Class,31,1,LAS,NA,1773.45
FL01804,Delta,DCA,DFW,10-03-2024,First Class,128,1,LAX,NA,989.25
FL01805,Republic Airways,LAS,ATL,08-01-2025,First Class,60,0,NA,NA,1435.17
FL01806,SkyWest Airlines,LAX,ATL,12-10-2024,Business,121,0,NA,NA,654.9
FL01807,SkyWest Airlines,DEN,JFK,02-10-2024,Economy,174,2,LAX,MIA,705.02
FL01808,American Airlines,DEN,BWI,02-10-2024,Economy,139,0,NA,NA,272.45
FL01809,Alaska Airlines,EWR,DFW,03-01-2025,Business,52,1,JFK,NA,1298.1
FL01810,Alaska Airlines,SFO,ATL,30-11-2024,First Class,100,1,BOS,NA,1158.22
FL01811,SkyWest Airlines,SFO,MCO,12-02-2025,Economy,52,1,DCA,NA,958.57
FL01812,Spirit Airlines,BOS,DEN,08-09-2024,First Class,31,0,NA,NA,1381.56
FL01813,SkyWest Airlines,ORD,MCO,20-06-2024,Economy,127,1,LAS,NA,515.72
FL01814,Hawaiian Airlines,IAH,DTW,23-04-2024,Business,156,1,DCA,NA,716.2
FL01815,United,MDW,DCA,09-08-2024,First Class,69,2,SEA,MCO,1727.82
FL01816,Frontier Airlines,SEA,CLT,27-08-2024,Business,73,2,ATL,SFO,1229.94
FL01817,Endeavor Air,JFK,LAS,13-08-2024,First Class,59,1,ORD,NA,1543.46
FL01818,Alaska Airlines,CLT,ORD,07-11-2024,Economy,119,0,NA,NA,343.6
FL01819,Endeavor Air,BOS,MIA,17-08-2024,Business,111,1,ORD,NA,716.49
FL01820,Hawaiian Airlines,DCA,JFK,18-09-2024,Business,99,1,MCO,NA,675.63
FL01821,SkyWest Airlines,EWR,CLT,08-10-2024,Business,43,0,NA,NA,830.97
FL01822,SkyWest Airlines,LAX,DFW,01-07-2024,Economy,1,1,MCO,NA,985.59
FL01823,Southwest,DFW,LAS,04-10-2024,Business,113,2,MCO,CLT,1076.53
FL01824,SkyWest Airlines,LAX,SFO,14-07-2024,First Class,56,0,NA,NA,1143.28
FL01825,SkyWest Airlines,DTW,BOS,12-05-2024,Economy,24,0,NA,NA,314.7
FL01826,JetBlue,CLT,LAX,30-11-2024,Business,10,0,NA,NA,1388.72
FL01827,American Airlines,LAX,ATL,26-03-2024,Economy,114,1,MIA,NA,240.92
FL01828,Delta,MCO,SEA,30-04-2024,Economy,13,1,SFO,NA,574.29
FL01829,United,CLT,BOS,15-03-2024,Economy,83,0,NA,NA,550.53
FL01830,JetBlue,DEN,DCA,31-01-2025,First Class,68,0,NA,NA,1938.85
FL01831,Frontier Airlines,MDW,BWI,16-03-2024,First Class,162,2,DTW,LAS,1272.52
FL01832,Republic Airways,SFO,BWI,05-12-2024,First Class,149,2,MIA,CLT,1462.32
FL01833,American Airlines,DCA,MCO,16-08-2024,First Class,24,0,NA,NA,1616.81
FL01834,Spirit Airlines,IAH,SEA,09-11-2024,First Class,123,0,NA,NA,1564
FL01835,Endeavor Air,MDW,LAX,01-10-2024,Economy,173,0,NA,NA,573.01
FL01836,JetBlue,MDW,EWR,04-08-2024,Business,128,0,NA,NA,586
FL01837,Spirit Airlines,CLT,IAH,19-05-2024,First Class,5,0,NA,NA,1833.16
FL01838,Republic Airways,BWI,BOS,19-01-2025,Business,59,1,MDW,NA,1199.19
FL01839,SkyWest Airlines,LAX,JFK,13-05-2024,Business,37,0,NA,NA,675.82
FL01840,Endeavor Air,ATL,SFO,03-04-2024,Economy,3,2,JFK,EWR,731.19
FL01841,Delta,IAH,DFW,17-12-2024,First Class,160,1,LAS,NA,1392.85
FL01842,Hawaiian Airlines,ATL,CLT,08-09-2024,Business,88,0,NA,NA,744.65
FL01843,Alaska Airlines,BWI,DEN,10-07-2024,Business,153,1,ORD,NA,710.98
FL01844,Hawaiian Airlines,DCA,MDW,29-09-2024,Business,168,0,NA,NA,574.47
FL01845,United,IAH,MDW,26-05-2024,Economy,125,0,NA,NA,488.69
FL01846,Hawaiian Airlines,BWI,EWR,01-01-2025,First Class,45,0,NA,NA,1576.13
FL01847,United,DFW,LAX,03-04-2024,First Class,60,0,NA,NA,1353.67
FL01848,Frontier Airlines,SFO,IAH,18-07-2024,First Class,88,0,NA,NA,1729.14
FL01849,Spirit Airlines,LAS,MIA,21-08-2024,Business,102,0,NA,NA,969.2
FL01850,Hawaiian Airlines,EWR,LAX,02-02-2025,First Class,127,2,BWI,SFO,1478.14
FL01851,Delta,MCO,PHX,09-05-2024,First Class,96,0,NA,NA,1390.05
FL01852,JetBlue,DEN,LAX,30-06-2024,Economy,87,1,MIA,NA,660.12
FL01853,Alaska Airlines,MIA,ORD,23-09-2024,Economy,53,0,NA,NA,492.55
FL01854,United,EWR,ORD,09-05-2024,First Class,27,1,SEA,NA,1192.83
FL01855,Republic Airways,LAS,MIA,27-04-2024,Business,36,2,DCA,PHX,807.63
FL01856,Hawaiian Airlines,IAH,LAS,10-11-2024,First Class,102,1,CLT,NA,1569.92
FL01857,Republic Airways,MDW,LAX,22-10-2024,Economy,132,0,NA,NA,418.6
FL01858,American Airlines,EWR,BOS,02-04-2024,First Class,20,0,NA,NA,1566.84
FL01859,Republic Airways,DFW,ATL,31-08-2024,Business,151,1,LAX,NA,737.96
FL01860,SkyWest Airlines,LAS,JFK,25-08-2024,Economy,128,2,DEN,BWI,868.75
FL01861,Frontier Airlines,JFK,BOS,12-02-2025,First Class,127,0,NA,NA,1219.22
FL01862,SkyWest Airlines,JFK,DEN,11-02-2025,Economy,146,1,EWR,NA,612.45
FL01863,American Airlines,BOS,MDW,21-11-2024,First Class,135,1,DFW,NA,1169.19
FL01864,Hawaiian Airlines,BWI,ATL,26-03-2024,Economy,65,0,NA,NA,715
FL01865,Frontier Airlines,JFK,ORD,03-02-2025,Business,149,1,LAS,NA,505.8
FL01866,Frontier Airlines,JFK,DCA,16-06-2024,Business,17,1,IAH,NA,933.77
FL01867,Republic Airways,SEA,MDW,07-03-2024,Economy,119,0,NA,NA,485.74
FL01868,Hawaiian Airlines,SEA,BWI,18-01-2025,First Class,37,1,CLT,NA,2526.58
FL01869,Frontier Airlines,DTW,PHX,27-10-2024,Business,121,0,NA,NA,577.33
FL01870,Endeavor Air,BWI,LAX,01-08-2024,Economy,149,1,LAS,NA,623.93
FL01871,Endeavor Air,JFK,PHX,04-03-2024,Economy,174,0,NA,NA,372.79
FL01872,Frontier Airlines,DFW,DCA,01-02-2025,Business,19,0,NA,NA,534.35
FL01873,Frontier Airlines,MCO,MIA,28-01-2025,First Class,38,2,DCA,BOS,1677.57
FL01874,Hawaiian Airlines,PHX,CLT,08-01-2025,Economy,161,0,NA,NA,468.47
FL01875,Frontier Airlines,CLT,MDW,20-03-2024,Business,28,2,ATL,DFW,1000.4
FL01876,Delta,ORD,MIA,18-01-2025,Economy,32,2,IAH,PHX,1574.76
FL01877,Delta,IAH,MCO,13-05-2024,First Class,53,0,NA,NA,1472.44
FL01878,Republic Airways,DFW,DTW,03-12-2024,First Class,175,1,BOS,NA,1082.61
FL01879,Delta,MIA,BOS,27-04-2024,Business,174,0,NA,NA,368.64
FL01880,Hawaiian Airlines,DFW,PHX,28-03-2024,Business,32,0,NA,NA,1018.23
FL01881,United,CLT,ATL,07-12-2024,Business,93,0,NA,NA,995.38
FL01882,Delta,DFW,ATL,14-03-2024,Economy,122,0,NA,NA,561.13
FL01883,SkyWest Airlines,LAX,MDW,09-04-2024,Economy,129,0,NA,NA,552.96
FL01884,SkyWest Airlines,CLT,LAS,31-08-2024,First Class,53,1,MDW,NA,1733.66
FL01885,Spirit Airlines,DCA,LAS,05-03-2024,Business,75,0,NA,NA,1162.36
FL01886,JetBlue,CLT,LAS,14-07-2024,First Class,100,1,BWI,NA,1520.76
FL01887,Endeavor Air,BOS,CLT,22-08-2024,Business,20,1,BWI,NA,1104.09
FL01888,Alaska Airlines,LAS,EWR,10-08-2024,First Class,43,0,NA,NA,1850.65
FL01889,Delta,CLT,IAH,05-10-2024,Business,116,1,JFK,NA,931.43
FL01890,American Airlines,ORD,JFK,24-03-2024,Business,107,0,NA,NA,720.3
FL01891,Republic Airways,JFK,MCO,02-04-2024,Business,85,0,NA,NA,1057.38
FL01892,Hawaiian Airlines,BWI,ATL,18-06-2024,First Class,48,1,ORD,NA,1976.01
FL01893,Delta,MDW,PHX,07-09-2024,Business,91,1,MIA,NA,893.05
FL01894,Delta,IAH,DCA,12-07-2024,First Class,48,1,MDW,NA,2285.83
FL01895,Endeavor Air,BWI,LAX,04-02-2025,First Class,108,1,DTW,NA,782.08
FL01896,Republic Airways,DTW,DCA,30-12-2024,Business,79,0,NA,NA,1250.94
FL01897,JetBlue,DTW,SFO,07-09-2024,Economy,125,2,DEN,SEA,771.11
FL01898,Frontier Airlines,MDW,SEA,30-08-2024,Business,145,2,DEN,ATL,707.87
FL01899,Republic Airways,CLT,BOS,21-07-2024,Economy,58,0,NA,NA,833.13
FL01900,United,LAS,SEA,17-11-2024,Economy,121,1,MCO,NA,397.33
FL01901,Delta,JFK,SFO,12-12-2024,Economy,137,2,MCO,DFW,735.05
FL01902,Republic Airways,MIA,LAX,20-07-2024,Business,90,2,CLT,IAH,1485.47
FL01903,Frontier Airlines,DFW,SEA,07-03-2024,First Class,39,0,NA,NA,1818.34
FL01904,Republic Airways,LAX,BWI,22-12-2024,First Class,5,1,ORD,NA,1374.79
FL01905,SkyWest Airlines,IAH,CLT,26-06-2024,Business,48,0,NA,NA,700.04
FL01906,SkyWest Airlines,DFW,CLT,11-03-2024,Business,28,0,NA,NA,631.58
FL01907,Spirit Airlines,BOS,MDW,18-03-2024,First Class,106,0,NA,NA,1488.87
FL01908,Republic Airways,LAS,LAX,03-04-2024,Business,37,1,ORD,NA,1138.91
FL01909,Delta,CLT,SEA,02-06-2024,Economy,125,0,NA,NA,347.02
FL01910,Hawaiian Airlines,PHX,DEN,03-10-2024,First Class,28,0,NA,NA,1876.08
FL01911,JetBlue,JFK,SFO,13-09-2024,Economy,123,0,NA,NA,367.08
FL01912,SkyWest Airlines,DFW,IAH,06-07-2024,First Class,14,1,DTW,NA,1640.16
FL01913,United,BWI,ATL,14-12-2024,Economy,32,0,NA,NA,556.08
FL01914,Endeavor Air,ORD,BWI,04-12-2024,Business,121,1,DTW,NA,1137.07
FL01915,SkyWest Airlines,LAS,DEN,22-06-2024,Business,114,1,DFW,NA,1077.34
FL01916,JetBlue,MIA,MCO,30-09-2024,Business,168,2,DFW,LAX,943.82
